Nov 14 12:16:52.706 INFO Logging to file                         path: "/data/validator/validators/logs/validator.log"
Nov 14 12:16:52.791 INFO Lighthouse started                      version: Lighthouse/v7.0.0-beta.0-1888be5
Nov 14 12:16:52.791 INFO Configured for network                  name: custom (/data/testnet-dir)
Nov 14 12:16:52.796 INFO Starting validator client               validator_dir: "/data/validator/validators", beacon_nodes: ["http://beacon:3500/"]
Nov 14 12:16:52.797 INFO HTTP metrics server is disabled
Nov 14 12:16:53.679 INFO Completed validator discovery           new_validators: 100
Nov 14 12:16:54.485 INFO Enabled validator                       voting_pubkey: 0x8f467e5723deac7659e1ca273e28410cbaa6d495ab66ae77014f4cd21c64b6b5ab9987c9b5537fe0279bd063fe609be7, signing_method: local_keystore
Nov 14 12:16:54.744 INFO Enabled validator                       voting_pubkey: 0x984620db3658a19769475080998db9e7f5bcd4255a89a70b5ecf7db01226f213836d091a3b37eb96e4937966b094a291, signing_method: local_keystore
Nov 14 12:16:54.973 INFO Enabled validator                       voting_pubkey: 0xabef42538a17a55804b634aac9d211b92b5768c4cc1263342ca287323bb3d5c768080451d1b5d652e9f8646fbb35f57c, signing_method: local_keystore
Nov 14 12:16:55.183 INFO Enabled validator                       voting_pubkey: 0xa4855c83d868f772a579133d9f23818008417b743e8447e235d8eb78b1d8f8a9f63f98c551beb7de254400f89592314d, signing_method: local_keystore
Nov 14 12:16:55.395 INFO Enabled validator                       voting_pubkey: 0x93bb1c86717fa7303f65cb8c45c9fcc8fecb88428b7cd1dd59967a132109c25ab5c97888e46c5d471ff911c573f45a34, signing_method: local_keystore
Nov 14 12:16:55.584 INFO Enabled validator                       voting_pubkey: 0xa8a18565733e70663c77bc0c80e08f50de908cc048152f1e7dae85d8cc218afbdd337d7d33a44e25400be2f06907c64a, signing_method: local_keystore
Nov 14 12:16:55.756 INFO Enabled validator                       voting_pubkey: 0xa7f711233af57440e9ea700113fc4dbaef97e7da7741dd2e38ae668a7f2685d4585d54a9e6712ff1b87c69dbb181abf7, signing_method: local_keystore
Nov 14 12:16:55.923 INFO Enabled validator                       voting_pubkey: 0xa34febc12af07316580b480364f90a76313ccce7927bbe263e27ea270853b02ad4d1428caf55363f3ebebac622cb9fd6, signing_method: local_keystore
