Oct 25 15:08:27.037 INFO Logging to file, path: "/data/validator/validators/logs/validator.log", module: environment:311
Oct 25 15:08:27.074 INFO Lighthouse started, version: Lighthouse/v7.0.0-beta.0-1888be5, module: lighthouse:721
Oct 25 15:08:27.075 INFO Configured for network, name: custom (/data/testnet-dir), module: lighthouse:722
Oct 25 15:08:32.934 INFO Enabled validator, voting_pubkey: 0x872c61b4a7f8510ec809e5b023f5fdda2105d024c470ddbbeca4bc74e8280af0d178d749853e8f6a841083ac1b4db98f, signing_method: local_keystore, module: initialized_validators:1283
Oct 25 15:08:33.093 INFO Enabled validator, voting_pubkey: 0x963528adb5322c2e2c54dc296ffddd2861bb103cbf64646781dfa8a3c2d8a8eda7079d2b3e95600028c44365afbf8879, signing_method: local_keystore, module: initialized_validators:1283
Oct 25 15:08:33.253 INFO Enabled validator, voting_pubkey: 0xaa241b2afbb33f92a5d281aec9c8bac8997c1dddc051455fc0f334de48320f160b5029b552495aed21ed9ce252aab499, signing_method: local_keystore, module: initialized_validators:1283
Oct 25 15:08:33.412 INFO Enabled validator, voting_pubkey: 0xae4d49364e4a36760cc74a675500055b9aed99bc19d31abb953ea156bb5a76dcf36769d15341b850114a30ffc8057780, signing_method: local_keystore, module: initialized_validators:1283
Oct 25 15:08:33.569 INFO Enabled validator, voting_pubkey: 0xafc0fa2ed6a270de6122a19d4600380b7f9b5e974d16f095f1702f55792ecab0128b155a69f17ad64a6de0a7063642ec, signing_method: local_keystore, module: initialized_validators:1283
Oct 25 15:08:33.750 INFO Enabled validator, voting_pubkey: 0x815042c33c1a43c1ee58a58ee074bc93a13c23a035dedee6879730220379d0c03ff4a3829240b6c34e56feb55cd322df, signing_method: local_keystore, module: initialized_validators:1283
Oct 25 15:08:33.950 INFO Enabled validator, voting_pubkey: 0xac9f4df3f20a16a9fefad08817fcbc9a6ee17f7512db006414b4aa6f234c2313585ef72c5776df55fa6284af4bc3f631, signing_method: local_keystore, module: initialized_validators:1283
Oct 25 15:08:34.140 INFO Enabled validator, voting_pubkey: 0x87c9f7605d07550b46c79add5ea4e39de5014c03833669257bd6666b7ec838f53800104779940d8cdd884275a0f6a3ef, signing_method: local_keystore, module: initialized_validators:1283
Oct 25 15:08:34.299 INFO Enabled validator, voting_pubkey: 0xb7721412ae5a793f34ac8866698b221c67ef8272eba44d3030512ec3f7ed8ffcb620b58f17809690d5276423e849827f, signing_method: local_keystore, module: initialized_validators:1283
Oct 25 15:08:34.458 INFO Enabled validator, voting_pubkey: 0xaef9162ee6f29ee82fbfe387756d84f9ac472eb8709217aaf28f5ef0ea273f6210e531496470b30d2b7747216e3672d5, signing_method: local_keystore, module: initialized_validators:1283
Oct 25 15:08:34.617 INFO Enabled validator, voting_pubkey: 0xb397692ccbf442bfe078174c85dbad7fd605e4ff1caf2904b31e4a4c79d6444813ad9b2093ac8fbd4dd59ec7a4c8c006, signing_method: local_keystore, module: initialized_validators:1283
